firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,count_web,gender,prob
Aaron,3646,2.88,91.607,3.264,2.057,0.055,0.137,292748,male,1.0
Abbas,59,0.0,71.186,3.39,25.424,0.0,0.0,40851,male,0.99
Abbey,57,0.0,96.491,3.509,0.0,0.0,0.0,16048,female,0.9
Abbie,74,1.351,95.946,2.703,0.0,0.0,0.0,16641,female,0.99
Abby,262,1.527,94.656,1.527,2.29,0.0,0.0,56791,female,0.99
Abdul,221,0.452,44.344,6.787,47.511,0.452,0.452,236243,male,1.0
Abdullah,44,2.273,65.909,9.091,22.727,0.0,0.0,168754,male,0.99
Abe,31,6.452,77.419,12.903,3.226,0.0,0.0,14081,male,0.99
Abel,327,82.569,12.844,2.141,2.446,0.0,0.0,74796,male,1.0
Abelardo,76,78.947,9.211,0.0,11.842,0.0,0.0,8754,male,1.0
Abhijit,34,0.0,17.647,0.0,82.353,0.0,0.0,27626,male,1.0
Abhishek,18,0.0,0.0,0.0,100.0,0.0,0.0,157218,male,1.0
Abigail,418,12.201,81.579,1.435,4.785,0.0,0.0,95999,female,1.0
Abner,41,39.024,34.146,12.195,14.634,0.0,0.0,11025,male,1.0
Abraham,413,30.751,47.7,7.748,12.349,1.453,0.0,79626,male,1.0
Abram,43,9.302,81.395,6.977,2.326,0.0,0.0,4729,male,1.0
Ada,199,30.653,53.266,7.035,8.543,0.503,0.0,62892,female,0.93
Adalberto,69,94.203,5.797,0.0,0.0,0.0,0.0,18513,male,1.0
Adam,4725,1.989,96.148,0.635,1.016,0.085,0.127,554061,male,1.0
Adan,146,91.781,5.479,2.055,0.685,0.0,0.0,18037,male,0.99
Addie,49,2.041,67.347,26.531,2.041,2.041,0.0,5438,female,0.97
Adel,77,9.091,71.429,5.195,14.286,0.0,0.0,27613,male,0.94
Adela,122,63.115,28.689,0.0,8.197,0.0,0.0,31015,female,0.99
Adelaida,44,52.273,13.636,0.0,34.091,0.0,0.0,5637,female,1.0
Adelaide,41,12.195,75.61,12.195,0.0,0.0,0.0,12530,female,0.99
Adele,193,0.518,93.782,2.591,2.591,0.0,0.518,36211,female,0.99
Adelina,62,62.903,25.806,1.613,8.065,1.613,0.0,17693,female,0.99
Adeline,66,10.606,65.152,7.576,15.152,0.0,1.515,43016,female,0.99
Adina,55,3.636,89.091,5.455,1.818,0.0,0.0,16547,female,0.99
Admir,15,0.0,100.0,0.0,0.0,0.0,0.0,4600,male,0.99
Adnan,66,0.0,66.667,1.515,30.303,1.515,0.0,82678,male,0.99
Adolfo,179,87.151,10.056,0.559,2.235,0.0,0.0,48618,male,1.0
Adolph,44,11.364,72.727,15.909,0.0,0.0,0.0,2028,male,1.0
Adria,40,10.0,90.0,0.0,0.0,0.0,0.0,6612,female,0.85
Adrian,865,36.301,49.249,11.098,2.659,0.347,0.347,101812,male,0.99
Adriana,489,62.372,35.992,0.818,0.613,0.204,0.0,368698,female,1.0
Adriane,58,6.897,75.862,15.517,1.724,0.0,0.0,965,female,0.93
Adrianna,30,43.333,50.0,3.333,3.333,0.0,0.0,18338,female,0.99
Adrianne,95,3.158,89.474,6.316,1.053,0.0,0.0,8076,female,0.99
Adrienne,644,2.019,83.385,12.733,1.553,0.155,0.155,41838,female,1.0
